Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
vz1oym,18-24 years old,1,at the office,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cappuccino,NA,"no - just black, milk, dairy alternative, or coffee creamer",TRUE,TRUE,FALSE,FALSE,FALSE,NA,coffee creamer,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bold,medium,medium,full caffeine,6,2,2,2,NA,4,2,4,NA,3,5,3,NA,2,2,4,NA,coffee b,coffee d,coffee b,i primarily work in person,<$20,"it tastes good, i need the caffeine, i need the ritual, it makes me go to the bathroom",TRUE,TRUE,TRUE,TRUE,FALSE,NA,yes,no,$4-$6,$6-$8,yes,less than $20,yes,male,NA,some college or associate's degree,white/caucasian,NA,student,none,independent
kmbknv,25-34 years old,1,at home,TRUE,FALSE,FALSE,FALSE,FALSE,other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,aeropress,NA,NA,NA,NA,NA,NA,NA,NA,regular drip coffee,NA,no - just black,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full bodied,medium,medium,full caffeine,3,2,4,4,NA,2,2,5,NA,3,1,3,NA,2,5,3,NA,coffee b,coffee a,coffee b,i primarily work from home,$20-$40,"it tastes good, i need the ritual",TRUE,FALSE,TRUE,FALSE,FALSE,NA,yes,yes,$8-$10,$10-$15,yes,$300-$500,yes,male,NA,bachelor's degree,white/caucasian,NA,employed full-time,none,democrat
oabmyy,55-64 years old,2,at home,TRUE,FALSE,FALSE,FALSE,FALSE,"pour over, french press",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,pourover,NA,no - just black,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full bodied,somewhat light,light,full caffeine,5,2,3,3,NA,3,3,5,NA,4,3,4,NA,4,4,2,NA,coffee a,coffee a,coffee d,i primarily work in person,$40-$60,"it tastes good, i need the caffeine, i need the ritual",TRUE,TRUE,TRUE,FALSE,FALSE,NA,yes,yes,$8-$10,$10-$15,yes,$300-$500,yes,male,NA,bachelor's degree,white/caucasian,NA,retired,none,NA
wapvjr,18-24 years old,1,at home,TRUE,FALSE,FALSE,FALSE,FALSE,espresso,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,latte,NA,"sugar or sweetener, milk, dairy alternative, or coffee creamer",FALSE,TRUE,TRUE,FALSE,FALSE,NA,whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,raw sugar (turbinado),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,sweet,somewhat strong,medium,full caffeine,5,4,5,1,NA,5,4,2,NA,3,3,5,NA,2,2,4,NA,coffee c,coffee d,coffee d,i primarily work from home,$20-$40,"i need the ritual, it tastes good",TRUE,FALSE,TRUE,FALSE,FALSE,NA,yes,yes,$6-$8,$6-$8,yes,$50-$100,yes,male,NA,master's degree,white/caucasian,NA,employed full-time,none,no affiliation
oabmkr,25-34 years old,2,"at home, at the office",TRUE,TRUE,FALSE,FALSE,FALSE,pour over,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,pourover,NA,no - just black,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,caramalized,very strong,medium,full caffeine,6,2,4,1,NA,2,3,5,NA,4,2,3,NA,1,4,4,NA,coffee b,coffee d,coffee b,i do a mix of both,$20-$40,"it tastes good, i need the caffeine",TRUE,TRUE,FALSE,FALSE,FALSE,NA,yes,yes,$10-$15,$10-$15,yes,$100-$300,yes,male,NA,master's degree,white/caucasian,NA,employed full-time,none,democrat
yzzlyw,25-34 years old,4,at home,TRUE,FALSE,FALSE,FALSE,FALSE,"espresso, pour over",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,americano,NA,no - just black,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bright,medium,nordic,full caffeine,7,1,1,4,"caramel, dry",3,4,3,cocoa,3,3,2,"dry, cellulose, sweet",1,3,5,"honey, cocoa",coffee a,coffee a,coffee d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bgbwvk,25-34 years old,2,"at the office, at home, on the go, at a cafe",TRUE,TRUE,TRUE,TRUE,FALSE,espresso,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"national chain (e.g. starbucks, dunkin), local cafe",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,latte,NA,"milk, dairy alternative, or coffee creamer",FALSE,TRUE,FALSE,FALSE,FALSE,NA,oat milk,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bold,somewhat strong,dark,full caffeine,3,1,2,4,"watery, accessible, mild, inoffensive",4,2,3,classic coffee taste,4,1,5,"loved it, strong and not sour, perfect for waking up",3,4,1,"sour, challenging",coffee c,coffee a,coffee c,i primarily work from home,$20-$40,"it tastes good, i need the caffeine, i need the ritual",TRUE,TRUE,TRUE,FALSE,FALSE,NA,yes,no,$8-$10,$10-$15,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xebpyl,25-34 years old,3,"at home, at the office, on the go",TRUE,TRUE,TRUE,FALSE,FALSE,"pour over, espresso",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,specialty coffee shop,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,regular drip coffee,NA,no - just black,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full bodied,medium,light,full caffeine,8,3,4,2,NA,4,2,4,NA,3,2,3,NA,2,4,4,NA,coffee b,coffee d,coffee b,i do a mix of both,$80-$100,"it tastes good, i need the ritual",TRUE,FALSE,TRUE,FALSE,FALSE,NA,yes,yes,$6-$8,$6-$8,yes,"more than $1,000",yes,male,NA,bachelor's degree,white/caucasian,NA,employed full-time,none,democrat
vz1obg,25-34 years old,1,at home,TRUE,FALSE,FALSE,FALSE,FALSE,espresso,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,cortado,NA,no - just black,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fruity,medium,medium,half caff,4,2,3,3,NA,4,2,2,NA,3,1,4,NA,1,4,5,NA,coffee c,coffee d,coffee d,i primarily work from home,$40-$60,"i need the ritual, it tastes good",TRUE,FALSE,TRUE,FALSE,FALSE,NA,yes,yes,$6-$8,more than $20,no,"more than $1,000",yes,male,NA,master's degree,white/caucasian,NA,employed full-time,none,democrat
1r2ox1,25-34 years old,less than 1,"at home, on the go",TRUE,FALSE,TRUE,FALSE,FALSE,"pour over, french press",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"local cafe, national chain (e.g. starbucks, dunkin)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,cappuccino,NA,"milk, dairy alternative, or coffee creamer, sugar or sweetener",FALSE,TRUE,TRUE,FALSE,FALSE,NA,whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,granulated sugar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,caramalized,medium,medium,full caffeine,4,2,3,2,"orange, milk chocolate",3,4,4,"figs, cinnamon",3,4,5,"apple, pomegranate",4,3,1,"cherry, tar",coffee c,coffee a,coffee c,i primarily work in person,<$20,"it tastes good, i need the caffeine",TRUE,TRUE,FALSE,FALSE,FALSE,NA,yes,yes,$6-$8,$8-$10,yes,$50-$100,no,female,NA,master's degree,white/caucasian,NA,employed full-time,none,no affiliation
